[2025-11-13 12:27:50] System - CPU: 1.68%, Memory: 25.77%, Processes: 405
[2025-11-13 12:27:51] System - CPU: 2.35%, Memory: 25.68%, Processes: 405
[2025-11-13 12:27:52] System - CPU: 2.68%, Memory: 25.69%, Processes: 405
[2025-11-13 12:27:54] System - CPU: 3.29%, Memory: 25.68%, Processes: 405
[2025-11-13 12:27:55] System - CPU: 5.07%, Memory: 25.66%, Processes: 406
[2025-11-13 12:27:56] System - CPU: 1.56%, Memory: 25.68%, Processes: 406
[2025-11-13 12:27:57] System - CPU: 1.89%, Memory: 25.68%, Processes: 406
[2025-11-13 12:27:58] System - CPU: 1.45%, Memory: 25.63%, Processes: 406
[2025-11-13 12:27:59] System - CPU: 1.34%, Memory: 25.63%, Processes: 406
[2025-11-13 12:28:00] System - CPU: 1.56%, Memory: 25.64%, Processes: 406
[2025-11-13 12:28:01] System - CPU: 1.73%, Memory: 25.64%, Processes: 406
[2025-11-13 12:28:03] System - CPU: 1.78%, Memory: 25.76%, Processes: 406
[2025-11-13 12:28:04] System - CPU: 1.34%, Memory: 25.76%, Processes: 406
[2025-11-13 12:28:05] System - CPU: 1.50%, Memory: 25.76%, Processes: 406
[2025-11-13 12:28:06] System - CPU: 1.62%, Memory: 25.75%, Processes: 406
[2025-11-13 12:28:07] System - CPU: 4.14%, Memory: 25.76%, Processes: 406
[2025-11-13 12:28:08] System - CPU: 3.97%, Memory: 25.80%, Processes: 406
[2025-11-13 12:28:09] System - CPU: 4.36%, Memory: 25.80%, Processes: 406
[2025-11-13 12:28:10] System - CPU: 3.87%, Memory: 25.79%, Processes: 406
[2025-11-13 12:28:12] System - CPU: 1.51%, Memory: 25.77%, Processes: 406
[2025-11-13 12:28:13] System - CPU: 1.51%, Memory: 25.75%, Processes: 406
[2025-11-13 12:28:14] System - CPU: 1.45%, Memory: 25.76%, Processes: 406
[2025-11-13 12:28:15] System - CPU: 2.23%, Memory: 25.73%, Processes: 406
[2025-11-13 12:28:16] System - CPU: 2.79%, Memory: 25.76%, Processes: 406
[2025-11-13 12:28:17] System - CPU: 3.53%, Memory: 25.70%, Processes: 406
[2025-11-13 12:28:18] System - CPU: 2.12%, Memory: 25.71%, Processes: 406
[2025-11-13 12:28:19] System - CPU: 3.72%, Memory: 25.75%, Processes: 406
[2025-11-13 12:28:21] System - CPU: 2.51%, Memory: 25.76%, Processes: 406
[2025-11-13 12:28:22] System - CPU: 2.52%, Memory: 25.73%, Processes: 406
[2025-11-13 12:28:23] System - CPU: 2.45%, Memory: 25.78%, Processes: 406
[2025-11-13 12:28:24] System - CPU: 2.57%, Memory: 25.76%, Processes: 406
[2025-11-13 12:28:25] System - CPU: 2.73%, Memory: 25.78%, Processes: 406
[2025-11-13 12:28:26] System - CPU: 2.58%, Memory: 25.75%, Processes: 406
[2025-11-13 12:28:27] System - CPU: 3.23%, Memory: 25.76%, Processes: 406
[2025-11-13 19:28:52] System - CPU: 0.00%, Memory: 17.00%, Processes: 445
[2025-11-13 19:28:53] System - CPU: 3.97%, Memory: 17.19%, Processes: 448
[2025-11-13 19:28:54] System - CPU: 2.04%, Memory: 17.21%, Processes: 445
[2025-11-13 19:28:56] System - CPU: 2.04%, Memory: 17.22%, Processes: 445
[2025-11-13 19:28:57] System - CPU: 2.96%, Memory: 17.16%, Processes: 445
[2025-11-13 19:28:58] System - CPU: 3.68%, Memory: 16.37%, Processes: 448
[2025-11-13 19:28:59] System - CPU: 2.37%, Memory: 16.15%, Processes: 445
[2025-11-13 19:29:00] System - CPU: 2.20%, Memory: 16.08%, Processes: 445
[2025-11-13 19:29:01] System - CPU: 2.54%, Memory: 16.04%, Processes: 445
[2025-11-13 19:29:02] System - CPU: 2.43%, Memory: 16.02%, Processes: 445
[2025-11-13 19:29:04] System - CPU: 1.71%, Memory: 16.00%, Processes: 445
[2025-11-13 19:29:05] System - CPU: 1.71%, Memory: 15.97%, Processes: 445
[2025-11-13 19:29:06] System - CPU: 2.70%, Memory: 15.91%, Processes: 445
[2025-11-13 19:29:07] System - CPU: 1.32%, Memory: 15.91%, Processes: 445
[2025-11-13 19:29:08] System - CPU: 1.60%, Memory: 15.91%, Processes: 445
[2025-11-13 19:29:09] System - CPU: 1.54%, Memory: 15.91%, Processes: 445
[2025-11-13 19:29:10] System - CPU: 1.70%, Memory: 15.88%, Processes: 445
[2025-11-13 19:29:12] System - CPU: 1.82%, Memory: 15.86%, Processes: 445
[2025-11-13 19:29:13] System - CPU: 1.93%, Memory: 15.86%, Processes: 445
[2025-11-13 19:29:14] System - CPU: 1.60%, Memory: 15.86%, Processes: 445
[2025-11-13 19:29:15] System - CPU: 2.15%, Memory: 15.84%, Processes: 445
[2025-11-13 19:29:16] System - CPU: 2.53%, Memory: 15.92%, Processes: 445
[2025-11-13 19:29:17] System - CPU: 2.04%, Memory: 15.91%, Processes: 445
[2025-11-13 19:29:18] System - CPU: 2.21%, Memory: 15.83%, Processes: 445
[2025-11-13 19:29:20] System - CPU: 1.49%, Memory: 15.83%, Processes: 445
[2025-11-13 19:29:21] System - CPU: 1.98%, Memory: 15.83%, Processes: 445
[2025-11-13 19:29:22] System - CPU: 1.38%, Memory: 15.83%, Processes: 445
[2025-11-13 19:29:23] System - CPU: 1.49%, Memory: 15.83%, Processes: 445
[2025-11-13 19:29:24] System - CPU: 1.54%, Memory: 15.83%, Processes: 445
[2025-11-13 19:29:25] System - CPU: 1.38%, Memory: 15.83%, Processes: 445
[2025-11-13 19:29:26] System - CPU: 1.71%, Memory: 15.82%, Processes: 445
[2025-11-13 19:29:27] System - CPU: 1.49%, Memory: 15.81%, Processes: 445
[2025-11-13 19:29:29] System - CPU: 1.98%, Memory: 15.81%, Processes: 445
[2025-11-13 19:29:30] System - CPU: 1.76%, Memory: 15.80%, Processes: 445
[2025-11-13 19:29:31] System - CPU: 2.93%, Memory: 15.78%, Processes: 445
[2025-11-13 19:29:32] System - CPU: 3.09%, Memory: 15.96%, Processes: 445
[2025-11-13 19:29:33] System - CPU: 2.09%, Memory: 15.94%, Processes: 445
[2025-11-13 19:29:34] System - CPU: 4.70%, Memory: 15.85%, Processes: 445
[2025-11-13 19:29:35] System - CPU: 4.20%, Memory: 15.92%, Processes: 445
[2025-11-13 19:29:37] System - CPU: 1.92%, Memory: 15.95%, Processes: 445
[2025-11-13 19:29:38] System - CPU: 2.37%, Memory: 15.93%, Processes: 445
[2025-11-13 20:23:43] System - CPU: 0.00%, Memory: 18.38%, Processes: 401
[2025-11-13 20:23:45] System - CPU: 4.03%, Memory: 18.58%, Processes: 404
[2025-11-13 20:23:46] System - CPU: 2.69%, Memory: 18.54%, Processes: 401
[2025-11-13 20:23:47] System - CPU: 2.75%, Memory: 18.56%, Processes: 401
[2025-11-13 20:23:48] System - CPU: 2.69%, Memory: 18.59%, Processes: 401
[2025-11-13 20:23:49] System - CPU: 2.69%, Memory: 18.59%, Processes: 401
[2025-11-13 20:23:50] System - CPU: 1.79%, Memory: 18.59%, Processes: 401
[2025-11-13 20:23:51] System - CPU: 2.68%, Memory: 18.57%, Processes: 401
[2025-11-13 20:23:52] System - CPU: 2.46%, Memory: 18.57%, Processes: 401
[2025-11-13 20:23:54] System - CPU: 2.01%, Memory: 18.54%, Processes: 401
[2025-11-13 20:23:55] System - CPU: 2.29%, Memory: 18.52%, Processes: 401
[2025-11-13 20:23:56] System - CPU: 2.30%, Memory: 18.50%, Processes: 401
[2025-11-13 20:23:57] System - CPU: 2.46%, Memory: 17.87%, Processes: 400
[2025-11-13 20:23:58] System - CPU: 2.14%, Memory: 17.87%, Processes: 400
[2025-11-13 20:23:59] System - CPU: 1.85%, Memory: 17.85%, Processes: 400
[2025-11-13 20:24:00] System - CPU: 2.24%, Memory: 17.85%, Processes: 400
[2025-11-13 20:24:01] System - CPU: 2.47%, Memory: 17.85%, Processes: 400
[2025-11-13 20:24:02] System - CPU: 2.47%, Memory: 17.85%, Processes: 400
[2025-11-13 20:24:04] System - CPU: 3.03%, Memory: 17.87%, Processes: 400
[2025-11-13 20:24:05] System - CPU: 2.19%, Memory: 17.86%, Processes: 400
[2025-11-13 20:24:06] System - CPU: 1.96%, Memory: 17.86%, Processes: 400
[2025-11-13 20:24:07] System - CPU: 2.18%, Memory: 17.85%, Processes: 400
[2025-11-13 20:24:08] System - CPU: 1.57%, Memory: 17.86%, Processes: 400
[2025-11-13 20:24:09] System - CPU: 2.02%, Memory: 17.86%, Processes: 400
[2025-11-13 20:24:10] System - CPU: 1.63%, Memory: 17.86%, Processes: 400
[2025-11-13 20:24:11] System - CPU: 1.79%, Memory: 17.86%, Processes: 400
[2025-11-13 20:24:13] System - CPU: 2.64%, Memory: 17.86%, Processes: 400
[2025-11-13 20:24:14] System - CPU: 2.19%, Memory: 17.85%, Processes: 400
[2025-11-13 20:24:15] System - CPU: 1.74%, Memory: 17.85%, Processes: 400
[2025-11-13 20:24:16] System - CPU: 2.13%, Memory: 17.82%, Processes: 400
[2025-11-13 20:24:17] System - CPU: 2.02%, Memory: 17.82%, Processes: 400
[2025-11-13 20:24:18] System - CPU: 1.96%, Memory: 17.83%, Processes: 400
[2025-11-13 20:24:19] System - CPU: 2.75%, Memory: 17.83%, Processes: 400
